Questions,Answers
How to create a new book?,"Once you are into a solution 
 Step 1: Hover over Save, 
 Step 2: Select Save in a Book, 
 Step 3: Provide your Book Name to create a new book"
How can we add an Agent in the solution?,Once you have given your solution name you will be asked to select the agent according to the solution
How to add agent while creating the GSI or CUs?,Once you have given your solution name you will be asked to select the agent according to the solution
How do I add an agent to a GSI or a CU?,Once you have given your solution name you will be asked to select the agent according to the solution
How to assign Rights to an Agent?,"Once you've selected an agent, you would be provided with an option to assign Rights at the solution design level and at the transaction level."
How to assign Rights?,"Once you've selected an agent, you would be provided with an option to assign Rights at the solution design level and at the transaction level."
How can I assign the Rights?,"Once you've selected an agent, you would be provided with an option to assign Rights at the solution design level and at the transaction level."
What is optional under Change Driver type?,Optional Change Driver is used when you want to make a Change Driver optional to trigger a CU. The CU under this condition will be exeCUted even if the data does not arrive to the CU.
What is the use of optional Change Driver type?,"Optional Change Driver is used when you want to make a Change Driver optional to trigger a CU. The CU under this condition will be exeCUted even if the data does not arrive to the CU. For example, while writing a product review, uploading an image for the product is optional and not mandatory. If the image is provided, it would be helpful but even if not the CU should be triggered."
How to add optional Type under select Validators?,"Optional Type Validator is used when you want an input field (Attribute) to be optional
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Optional Type' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to select optional Type Validator?,"Optional Type Validator is used when you want an input field (Attribute) to be optional
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Optional Type' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make an Attribute optional ?,"Optional Type Validator is used when you want an input field (Attribute) to be optional
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Optional Type' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How can I make middle name as optional field?,"Optional Type Validator is used when you want an input field (Attribute) to be optional
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Optional Type' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What are the steps to make an input value optional ?,"Optional Type Validator is used when you want an input field (Attribute) to be optional
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Optional Type' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to add a function which will make an Attribute field optional?,"Optional Type Validator is used when you want an input field (Attribute) to be optional
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Optional Type' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What is NSL_Passport Reserved CU?,Passport reserved CU is where the passport copy can be uploaded as an image or a file and the details are captured as a form of data.
Where can we use NSL_Passport Reserved CU?,Passport reserved CU is where the passport copy can be uploaded as an image or a file and the details are captured as a form of data.
Can we develop a solution that extracts the details from the image of Passport and convert to data?,Passport reserved CU is where the passport copy can be uploaded as an image or a file and the details are captured as a form of data.
What is Pattern Type in select Validators?,"Pattern Type Validator is used to define the specific Pattern in which the input should be entered. If the defined pattern is not followed, an error message should occur. For example, Defined: at least one uppercase, one lower case, one number and special character"
What is the use of Pattern Type Validator?,"Pattern Type Validator is used to define the specific Pattern in which the input should be entered. If the defined pattern is not followed, an error message should occur. For example, Defined: at least one uppercase, one lower case, one number and special character"
When do I use pattern type Validator?,"Pattern Type Validator is used to define the specific Pattern in which the input should be entered. If the defined pattern is not followed, an error message should occur. For example, Defined: at least one uppercase, one lower case, one number and special character"
What is NSL_paymentdetailsinstamojo Reserved CU?,Payment Details Instamojo Reserved CU is used when you want to incorporate Instamojo payment gateways for online transactions. .
Where can we useNSL_paymentdetailsinstamojo Reserved CU?,Payment Details Instamojo Reserved CU is used when you want to incorporate Instamojo payment gateways for online transactions. .
Can we develop a solution with instamojo payment gateway for online transactions?,Payment Details Instamojo Reserved CU is used when you want to incorporate Instamojo payment gateways for online transactions. .
What is NSL_PaytmInitiateTransaction Reserved CU?,Paytm initiate reserved CU is used when you want to incorporate Paytm getaways for online transactions.
Where can we use NSL_PaytmInitiateTransaction Reserved CU?,Paytm initiate reserved CU is used when you want to incorporate Paytm getaways for online transactions.
Can we develop a solution which initiates the Paytm transactions?,Paytm initiate reserved CU is used when you want to incorporate Paytm getaways for online transactions.
What is NSL_PaytmProcessTransaction Reserved CU?,Paytm process transaction reserved CU is used to perform online Paytm transactions. This CU helps in processing the online payment via Paytm.
Where can we use NSL_PaytmProcessTransaction Reserved CU?,Paytm process transaction reserved CU is used to perform online Paytm transactions. This CU helps in processing the online payment via Paytm.
Can we develop a solution with Paytm transactions?,Paytm process transaction reserved CU is used to perform online Paytm transactions. This CU helps in processing the online payment via Paytm.
What is NSL_PaytmSendOTP Reserved CU?,Paytm send OTP reserved CU is used to generate and send OTPs for online transactions via Paytm.
Where can we use NSL_PaytmSendOTP Reserved CU?,Paytm send OTP reserved CU is used to generate and send OTPs for online transactions via Paytm.
Can we develop a solution with Paytm transactions and generate OTP?,Paytm send OTP reserved CU is used to generate and send OTPs for online transactions via Paytm.
Where can I find the Physical Layer and Information Layer?,Physical and information layers can be found under each CU level.
What are the elements that exists in physical layer?,Physical layer consists of all the input entities which are required to be filled by the end-user. You can create entities and Attributes in the physical layer
How do I select Positive or Zero Validator?,"Positive or Zero Validator is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive or Zero' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make an Attribute to accept only positive or zeros as input value?,"Positive or Zero Validator is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive or Zero' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to restrict the users to input only positive or zeros into the field?,"Positive or Zero Validator is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive or Zero' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What is the process to add Positive or Zero Validator to an Attribute?,"Positive or Zero Validator is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive or Zero' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make users to enter only the whole numbers as values?,"Positive or Zero Validator is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive or Zero' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I add positive type Validator?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I select positive type Validator?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I restrict the end user to give only positive input?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How can I make an Attribute to accept only positive values?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Positive' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What is positive type Validator?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number. If a user provides either a negative value or 0, an error message is shown"
What is the purpose of positive type Validator?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number. If a user provides either a negative value or 0, an error message is shown"
When do we use positive type Validator?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number. If a user provides either a negative value or 0, an error message is shown"
Can I restrict the users to give natural numbers as an input,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number. If a user provides either a negative value or 0, an error message is shown"
Can I make an Attribute accept only positive values?,"Positive Validator is used when you want the end users to provide an input value which is strictly a positive number. If a user provides either a negative value or 0, an error message is shown"
What is quantification UI Control?,Quantification UI control is used to show the BETs of a solution in all vantage points
What is NSL_RazorpayCreateCheckoutPayment Reserved CU?,Razorpay create checkout is used when the user performs a transaction at the checkout time.
Where can we use NSL_RazorpayCreateCheckoutPaymentReservedCU?,Razorpay create checkout is used when the user performs a transaction at the checkout time.
Is it possible to incorporate Razorpay API into the solution?,Razorpay create checkout is used when the user performs a transaction at the checkout time.
What is NSL_razorpayVerifyGetPayment Reserved CU?,Razorpay verify reserved CU is used to verify the payment details for an online transactions via Razorpay.
Where can we use NSL_razorpayVerifyGetPayment Reserved CU?,Razorpay verify reserved CU is used to verify the payment details for an online transactions via Razorpay.
Is it possible to verify the payments via Razorpay?,Razorpay verify reserved CU is used to verify the payment details for an online transactions via Razorpay.
What is NSL_Read_QR_BarCode Reserved CU?,Read QR code reserved CU is used to scan the QR code and displays the information on the code.
Where can we use NSL_Read_QR_BarCode?,Read QR code reserved CU is used to scan the QR code and displays the information on the code.
Can we develop a solution which can scan the QR code and display the information?,Read QR code reserved CU is used to scan the QR code and displays the information on the code.
"What is read, write and execute in the Rights?","Read, Write and Execute are the Rights that need to be defined for every GSI and CU. Defining the Rights will allow the CU to act accordingly"
"What is the use of read, write and execute option while assigning Rights?","Read, Write and Execute are the Rights that need to be defined for every GSI and CU. Defining the Rights will allow the CU to act accordingly"
How can I use Recursion?,"Recursive CU is a type of trigger CU which function recursively based on the condition mentioned at the design time. A GSI can also be recursive as it extends the Recursive CU.
 Step 1: Create a GSI, 
 Step 2, Add the agent and assign rights, 
 Step 3: Name and create CUs, 
 Step 4: Name and Create Entities, 
 Step 5: Name and Create Attributes, 
 Step 6: Select the Change Unit that you want to recurring until its condition is met, 
 Step 7: select more, 
 Step 8: Select Recursive from the dropdown, 
 Step 9: Give the value, 
 Step 9: Select save, 
 Step 10: Select the same CU again, 
 Step 11: Select DCD, 
 Step 12: Add the entities which you want to connect, 
 Step 13: Select save 
 ."
How to create Recursive CU?,"Recursive CU is a type of trigger CU which function recursively based on the condition mentioned at the design time. A GSI can also be recursive as it extends the Recursive CU.Step 1: Create a GSI, 
 Step 2, Add the agent and assign rights, 
 Step 3: Name and create CUs, 
 Step 4: Name and Create Entities, 
 Step 5: Name and Create Attributes, 
 Step 6: Select the Change Unit that you want to recurring until its condition is met, 
 Step 7: select more, 
 Step 8: Select Recursive from the dropdown, 
 Step 9: Give the value, 
 Step 9: Select save, 
 Step 10: Select the same CU again, 
 Step 11: Select DCD, 
 Step 12: Add the entities which you want to connect, 
 Step 13: Select save 
 ."
How to choose Required Validator?,"Required Validator is used when you an input field must be filled with a value by the end user.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Required' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make an Attribute field as required?,"Required Validator is used when you an input field must be filled with a value by the end user.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Required' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What are the steps to add required Validator to an input field ?,"Required Validator is used when you an input field must be filled with a value by the end user.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Required' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make sure that a user does not skip to enter a value?,"Required Validator is used when you an input field must be filled with a value by the end user.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Required' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to make users enter data without skipping it ?,"Required Validator is used when you an input field must be filled with a value by the end user.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Required' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
Can we create our own Reserved CUs?,Reserved CU are created by NSLhub experts and are available for use in a solutions
Is there an option to develop our own Reserved CUs?,Reserved CU are created by NSLhub experts and are available for use in a solutions
Is it possible to develop Reserved CUs?,Reserved CU are created by NSLhub experts and are available for use in a solutions
How do I develop my own Reserved CU?,Reserved CU are created by NSLhub experts and are available for use in a solutions
How do we add the reserved CU?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
How to add reserved CU?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
How can I add reserved CU ?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
What is the procedure to add reserved CU?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
What are the steps involved to add reserved CU?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
How do I add a reserved CU into a solution?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
How to add a reserved CU?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
How do you add a reserved CU?,"Reserved CUs can be added from the NSLHUB Kit available on the NSL Platform.
 Step 1: Select Name your CU, 
 Step 2: Select NSLhub kit on the extreme left of the canvas. 
 Step 3: Search for the reserved CU function you wish to add, 
 Step 4: Select + icon to add NSL_ Functions"
What is NSL_ScheduleNotification Reserved CU?,Schedule notification reserved CU is used to schedule and send notifications according to a schedule date and time.
Where can we use NSL_ScheduleNotificationReserved CU?,Schedule notification reserved CU is used to schedule and send notifications according to a schedule date and time.
Can we develop a solution which can performs actions to schedule the notifications?,Schedule notification reserved CU is used to schedule and send notifications according to a schedule date and time.
What is the full form of SCORM?,Sharable Content Object Reference Model.
What is show unlinked CUs?,Show unlink option is used to view all the CUs which are not linked together.
How can I use SMS Reserved CU?,SMS reserve CU can be used to trigger SMS notification to the users. .
What is NSL_SSCMarksSheet Reserved CU?,SSC Marks reserved CU is where the user can upload the marksheet as an image or a file and the details are captured and saved as data.
Where can we use NSL_SSCMarksSheet Reserved CU?,SSC Marks reserved CU is where the user can upload the marksheet as an image or a file and the details are captured and saved as data.
Can we develop a solution that extracts the details from the image of SSC marks sheet and convert to data?,SSC Marks reserved CU is where the user can upload the marksheet as an image or a file and the details are captured and saved as data.
What is NSL_Template_Statistical functions?,Statistical Function Reserved CU is used to execute statistical functions in a solution. It has wide range of functions. .
Where can we use NSL_Template_StatisticalFunctions?,Statistical Function Reserved CU is used to execute statistical functions in a solution. It has wide range of functions. .
Can we develop a solution with the feature that performs Statistical Calculations?,Statistical Function Reserved CU is used to execute statistical functions in a solution. It has wide range of functions. .
How can we create embedded GSI as alternate CU?,"Step 1: Create a GSI
 Step 2: Add the Agent and assign rights, 
 Step 3: Create the CU, 
 Step 4: Create the Entity, 
 Step 5: Add and create the Attributes
 Step 6: Select Select UI control, 
 Step 7: Add the required UI Control, 
 Step 8: Select edit CU1, 
 Step 9: Select CU 1 as alternate, 
 Step 10: Alternate 1 CU as embedded GSI, 
 Step 11: alternate CU2 as another CU"
How to create embedded GSI as alternate CU?,"Step 1: Create a GSI
 Step 2: Add the Agent and assign rights, 
 Step 3: Create the CU, 
 Step 4: Create the Entity, 
 Step 5: Add and create the Attributes
 Step 6: Select Select UI control, 
 Step 7: Add the required UI Control, 
 Step 8: Select edit CU1, 
 Step 9: Select CU 1 as alternate, 
 Step 10: Alternate 1 CU as embedded GSI, 
 Step 11: alternate CU2 as another CU"
What are the steps to create an alternate CU?,"Step 1: Create a GSI, 
 Step 2, Add the agent and assign rights, 
 Step 3: Name and create CUs, 
 Step 4: Name and Create Entities, 
 Step 5: Name and Create Attributes, 
 Step 6: Hover over the CUs that you want to create as alternates and delete them from the canvas, 
 Step 7: Hover over the CU where you the alternates CU should play out, 
 Step 8: Select Alternate, 
 Step 9: Select Choose Alternate CU, 
 Step 10: Select Add from library to add the first CUs which should be played out as alternate, 
 Step 11: Select Next, 
 Step 12: Hover over and choose the main CU to define the logic for the alternate CU. 
 Step 13: Select Alternate, 
 Step 14: Hover over the first CU and Select Edit, 
 Step 15: Select the dropdown on the left and choose the Entity that you want to provide the logic for. 
 Step 16: Similarly provide the logic for the other alternate CU, 
 Step 17: Select Next,"
How to create an alternate CU?,"Step 1: Create a GSI, 
 Step 2, Add the agent and assign rights, 
 Step 3: Name and create CUs, 
 Step 4: Name and Create Entities, 
 Step 5: Name and Create Attributes, 
 Step 6: Hover over the CUs that you want to create as alternates and delete them from the canvas, 
 Step 7: Hover over the CU where you the alternates CU should play out, 
 Step 8: Select Alternate, 
 Step 9: Select Choose Alternate CU, 
 Step 10: Select Add from library to add the first CUs which should be played out as alternate, 
 Step 11: Select Next, 
 Step 12: Hover over and choose the main CU to define the logic for the alternate CU. 
 Step 13: Select Alternate, 
 Step 14: Hover over the first CU and Select Edit, 
 Step 15: Select the dropdown on the left and choose the Entity that you want to provide the logic for. 
 Step 16: Similarly provide the logic for the other alternate CU, 
 Step 17: Select Next, 
 ."
How to add alternate CUs?,"Step 1: Create a GSI, 
 Step 2, Add the agent and assign rights, 
 Step 3: Name and create CUs, 
 Step 4: Name and Create Entities, 
 Step 5: Name and Create Attributes, 
 Step 6: Hover over the CUs that you want to create as alternates and delete them from the canvas, 
 Step 7: Hover over the CU where you the alternates CU should play out, 
 Step 8: Select Alternate, 
 Step 9: Select Choose Alternate CU, 
 Step 10: Select Add from library to add the first CUs which should be played out as alternate, 
 Step 11: Select Next, 
 Step 12: Hover over and choose the main CU to define the logic for the alternate CU. 
 Step 13: Select Alternate, 
 Step 14: Hover over the first CU and Select Edit, 
 Step 15: Select the dropdown on the left and choose the Entity that you want to provide the logic for. 
 Step 16: Similarly provide the logic for the other alternate CU, 
 Step 17: Select Next, 
 ."
How to use the Currency Functions CU?,"Step 1: Create a GSI, 
 Step 2: Add the agent and assign rights, 
 Step 3: Name and create the CU, 
 Step 4: Name and create Entities, 
 Step 5: Name and create Attributes, 
 Step 6: Select NSLhub kit on the extreme left of the canvas.
 Step 7: Search for the Currency function, 
 Step 8: Select + icon to add NSL_Currency Function, 
 Step 9: Select the CU where you want to add the Currency function, 
 Step: 10 Link the Attributes or entities through DCDs."
Can we develop a solution that can convert the given numbers into Currency values?,"Step 1: Create a GSI, 
 Step 2: Add the agent and assign rights, 
 Step 3: Name and create the CU, 
 Step 4: Name and create Entities, 
 Step 5: Name and create Attributes, 
 Step 6: Select NSLhub kit on the extreme left of the canvas.
 Step 7: Search for the Currency function, 
 Step 8: Select + icon to add NSL_Currency Function, 
 Step 9: Select the CU where you want to add the Currency function, 
 Step: 10 Link the Attributes or entities through DCDs."
What are steps involved to add a Currency Function CU into a solution?,"Step 1: Create a GSI, 
 Step 2: Add the agent and assign rights, 
 Step 3: Name and create the CU, 
 Step 4: Name and create Entities, 
 Step 5: Name and create Attributes, 
 Step 6: Select NSLhub kit on the extreme left of the canvas.
 Step 7: Search for the Currency function, 
 Step 8: Select + icon to add NSL_Currency Function, 
 Step 9: Select the CU where you want to add the Currency function, 
 Step: 10 Link the Attributes or entities through DCDs."
How to connect the DCDs for Reserved CU?,"Step 1: Create a GSI, 
 Step 2: Add the agent and assign rights, 
 Step 3: Name and create the CU, 
 Step 4: Name and create Entities, 
 Step 5: Name and create Attributes, 
 Step 6: Select NSLhub kit on the extreme left of the canvas. 
 Step 7: Search for the reserved CU function you wish to add, 
 step 8: Select + icon to add NSL_ Functions, 
 Step 9: Select the CU where you want to add the Reserved CU function, 
 Step:10 Select DCD, 
 Step 11: select the Entity or the Attribute that you want to link. 
 Step 12: Select select Target and choose the reserved CU which you wish to Link at the Attribute or the Entity level ."
What are the steps to connect DCDs for Reserved CUs?,"Step 1: Create a GSI, 
 Step 2: Add the agent and assign rights, 
 Step 3: Name and create the CU, 
 Step 4: Name and create Entities, 
 Step 5: Name and create Attributes, 
 Step 6: Select NSLhub kit on the extreme left of the canvas. 
 Step 7: Search for the reserved CU function you wish to add, 
 step 8: Select + icon to add NSL_ Functions, 
 Step 9: Select the CU where you want to add the Reserved CU function, 
 Step:10 Select DCD, 
 Step 11: select the Entity or the Attribute that you want to link. 
 Step 12: Select select Target and choose the reserved CU which you wish to Link at the Attribute or the Entity level ."
How do I link DCDs for a Reserved CU?,"Step 1: Create a GSI, 
 Step 2: Add the agent and assign rights, 
 Step 3: Name and create the CU, 
 Step 4: Name and create Entities, 
 Step 5: Name and create Attributes, 
 Step 6: Select NSLhub kit on the extreme left of the canvas. 
 Step 7: Search for the reserved CU function you wish to add, 
 step 8: Select + icon to add NSL_ Functions, 
 Step 9: Select the CU where you want to add the Reserved CU function, 
 Step:10 Select DCD, 
 Step 11: select the Entity or the Attribute that you want to link. 
 Step 12: Select select Target and choose the reserved CU which you wish to Link at the Attribute or the Entity level ."
How to develop a solution with auto product IDs?,"Step 1: Create a GSI, 
 Step 2: Name and create CUs, 
 Step 3: Name and create Entity , 
 Step 4: Name and create Attribute, 
 Step 5: Product ID and select UI , 
 Step 6: search ""auto identifier"" and add 
 Step 7: Name verification CU and connect DCD, 
 Step 8: CU1 > DCD and add DCD, 
 Step 9: Go to trigger CES and Product ID and select Target as "" Display or the required field to display product ID,
 Step 10: add more DCD.
 ."
Can we develop a solution with the feature to generate auto product IDs?,"Step 1: Create a GSI, 
 Step 2: Name and create CUs, 
 Step 3: Name and create Entity , 
 Step 4: Name and create Attribute, 
 Step 5: Product ID and select UI , 
 Step 6: search ""auto identifier"" and add 
 Step 7: Name verification CU and connect DCD, 
 Step 8: CU1 > DCD and add DCD, 
 Step 9: Go to trigger CES and Product ID and select Target as "" Display or the required field to display product ID,
 Step 10: add more DCD.
 ."
How can I add a CU?,"Step 1: Create your GSI, 
 Step 2: Select Name you Change Unit, 
 Step 3: Name Your Change Unit. 
 Step 4: Select Enter"
How can we add CU to a solution?,"Step 1: Create your GSI, 
 Step 2: Select Name you Change Unit, 
 Step 3: Name Your Change Unit. 
 Step 4: Select Enter"
How to add a CU?,"Step 1: Create your GSI, 
 Step 2: Select Name you Change Unit, 
 Step 3: Name Your Change Unit. 
 Step 4: Select Enter"
What is the process of adding CU in a soultion,"Step 1: Create your GSI, 
 Step 2: Select Name you Change Unit, 
 Step 3: Name Your Change Unit. 
 Step 4: Select Enter"
How to add a CU?,"Step 1: Create your GSI, 
 Step 2: Select Name you Change Unit, 
 Step 3: Name Your Change Unit. 
 Step 4: Select Enter"
How to create a Change Unit?,"Step 1: Create your GSI, 
 Step 2: Select Name you Change Unit, 
 Step 3: Name Your Change Unit. 
 Step 4: Select Enter"
How to edit an Entity?,"Step 1: Hover over Entity Icon
 Step 2: select the edit icon 
 Step 3: Edit the Entity"
How to add a book from the library?,"Step 1: Hover over Save, 
 Step 2: Select Save in a Book, 
 Step 3: Select ""add from library"" book icon and select book from the library."
What is the process of connecting Change Units?,"Step 1: Name and Create CUs, 
 Step 2: Select the CU where you want to create DCD connection, 
 Step 3: Select DCD, 
 Step 4: Add the Entity or the Attribute that you wish to send to the other CU. 
 Step 5: Select select target, 
 Step 6: Add the Entity or the Attribute where you want to receive the Attribute or the Entity of the selected CU, 
 Step 7: Select Add More DCD"
What is the process of adding DCD?,"Step 1: Name and Create CUs, 
 Step 2: Select the CU where you want to create DCD connection, 
 Step 3: Select DCD, 
 Step 4: Add the Entity or the Attribute that you wish to send to the other CU. 
 Step 5: Select select target, 
 Step 6: Add the Entity or the Attribute where you want to receive the Attribute or the Entity of the selected CU, 
 Step 7: Select Add More DCD"
How to provide DCD?,"Step 1: Name and Create CUs, 
 Step 2: Select the CU where you want to create DCD connection, 
 Step 3: Select DCD, 
 Step 4: Add the Entity or the Attribute that you wish to send to the other CU. 
 Step 5: Select select target, 
 Step 6: Add the Entity or the Attribute where you want to receive the Attribute or the Entity of the selected CU, 
 Step 7: Select Add More DCD"
How can I connect Change Units using DCD?,"Step 1: Name and Create CUs, 
 Step 2: Select the CU where you want to create DCD connection, 
 Step 3: Select DCD, 
 Step 4: Add the Entity or the Attribute that you wish to send to the other CU. 
 Step 5: Select select target, 
 Step 6: Add the Entity or the Attribute where you want to receive the Attribute or the Entity of the selected CU, 
 Step 7: Select Add More DCD"
How to use DCDs?,"Step 1: Name and Create CUs, 
 Step 2: Select the CU where you want to create DCD connection, 
 Step 3: Select DCD, 
 Step 4: Add the Entity or the Attribute that you wish to send to the other CU. 
 Step 5: Select select target, 
 Step 6: Add the Entity or the Attribute where you want to receive the Attribute or the Entity of the selected CU, 
 Step 7: Select Add More DCD"
How to add the previous CUs in Current solution?,"Step 1: Select Name your Change Unit, 
 Step 2: Select Add from Library, 
 Step 3: Search for the CU on the search bar, 
 Step 4: Select + icon to add the CU."
How to add Change Unit from the library?,"Step 1: Select Name your Change Unit, 
 Step 2: Select Add from Library, 
 Step 3: Search for the CU on the search bar, 
 Step 4: Select + icon to add the CU."
How can I add previous CU?,"Step 1: Select Name your Change Unit, 
 Step 2: Select Add from Library, 
 Step 3: Search for the CU on the search bar, 
 Step 4: Select + icon to add the CU."
How to add saved CU in the Current solution?,"Step 1: Select Name your Change Unit, 
 Step 2: Select Add from Library, 
 Step 3: Search for the CU on the search bar, 
 Step 4: Select + icon to add the CU."
How to add Pre developed Change Unit to a solution ?,"Step 1: Select Name your Change Unit, 
 Step 2: Select Add from Library, 
 Step 3: Search for the CU on the search bar, 
 Step 4: Select + icon to add the CU."
What are the steps to add a saved CU in a Current solution?,"Step 1: Select Name your Change Unit, 
 Step 2: Select Add from Library, 
 Step 3: Search for the CU on the search bar, 
 Step 4: Select + icon to add the CU."
How can I create an Entity in the CU?,"Step 1: Select Name your Change Unit., 
 Step 2: Name your Change Unit, 
 Step 3: Select Enter, 
 Step 4: Hover over the CU and Select edit Icon. 
 Step 5: Add Agent and assign Rights, 
 Step 6: Select Physical or Information Layer, 
 Step 7: Select Create Entity, 
 Step 8: Name Your Entity"
How to create a new Entity?,"Step 1: Select Name your Change Unit., 
 Step 2: Name your Change Unit, 
 Step 3: Select Enter, 
 Step 4: Hover over the CU and Select edit Icon. 
 Step 5: Add Agent and assign Rights, 
 Step 6: Select Physical or Information Layer, 
 Step 7: Select Create Entity, 
 Step 8: Name Your Entity"
